Nombre,Longitud,Terminal1,Terminal2,Estaciones,Correspondencia,Paso,Terminal,Flujo
1,"18,828 km",PANTITLAN,OBSERVATORIO,20,7,12,2,141.606
2,"23,431 km",CUATRO CAMINOS,TASQUEÃ‘A,24,6,16,2,137.704
3,"13,609 km",INDIOS VERDES,UNIVERSIDAD,21,7,12,2,124.140
4,"10,747 km",SANTA ANITA,MARTIN CARRERA,10,6,4,2,16.102
5,"15,675 km",POLITECNICO,PANTITLAN,13,5,7,2,48.816
6,"13,947 km",EL ROSARIO,MARTIN CARRERA,11,4,7,2,26.086
7,"18,784 km",EL ROSARIO,BARRANCA DEL MUERTO,14,4,9,2,54.967
8,"20,078 km",GARIBALDI,CONSTITUCION DE 1917,19,6,12,2,76.407
9,"15,679 km",PANTITLAN,TACUBAYA,12,5,7,2,68.615
A,"17,192 km",PANTITLAN,LA PAZ,10,1,8,2,74.680
B,"23,722 km",CIUDAD AZTECA,BUENAVISTA,21,5,14,2,87.833
12,"23,722 km",TLAHUAC,MIXCOAC,20,4,15,2,78.214